Month,cough: (United States),vomiting: (United States),body aches: (United States),Vaccine: (United States),lockdown: (United States),Quarantine: (United States),WHO Guidelines: (United States),Face mask: (United States),Should I be worried: (United States),How dangerous is: (United States),What is a pandemic: (United States),emergency result: (United States),outbreak news: (United States),Ebola: (United States),Zika virus: (United States),Swine influenza: (United States),COVID-19: (United States)
2004-01-01,13,5,0.5,1,0.5,0.5,0.0,0.5,0,0,0.0,0.0,0.0,0.5,0.0,0.5,0.5
2004-02-01,12,5,0.5,1,0.5,0.5,0.5,0.5,0,4,0.0,0.0,0.0,0.5,0.0,0.5,0.5
2004-03-01,12,5,0.5,1,0.5,0.5,0.0,0.5,0,5,0.0,0.0,0.0,0.5,0.0,0.0,0.5
2004-04-01,11,5,0.5,1,0.5,0.5,0.5,0.5,0,5,0.0,0.0,0.0,0.5,0.0,0.5,0.5
2004-05-01,11,4,0.5,1,0.5,0.5,0.5,0.5,0,5,0.0,0.0,0.0,0.5,0.0,0.0,0.5
2004-06-01,11,4,0.5,1,0.5,0.5,0.5,0.5,0,3,0.0,0.0,0.0,0.5,0.0,0.5,0.5
2004-07-01,11,5,0.5,1,0.5,0.5,0.5,0.5,0,2,0.0,0.0,0.0,0.5,0.0,0.0,0.5
2004-08-01,11,5,0.5,1,0.5,0.5,0.5,0.5,0,3,0.0,0.0,0.0,0.5,0.0,0.0,0.5
2004-09-01,13,4,0.5,1,0.5,0.5,0.5,0.5,0,6,0.0,0.0,0.0,0.5,0.0,0.0,0.5
2004-10-01,16,4,0.5,3,0.5,0.5,0.5,0.5,0,6,0.0,0.0,0.0,0.5,0.0,0.5,0.5
2004-11-01,17,5,0.5,2,0.5,0.5,0.5,0.5,0,6,0.0,0.0,0.0,0.5,0.0,0.5,0.5
2004-12-01,19,5,0.5,1,0.5,0.5,0.0,0.5,0,5,0.0,0.0,0.0,0.5,0.0,0.5,0.5
2005-01-01,18,6,0.5,1,0.5,0.5,0.5,0.5,0,5,0.0,0.0,0.0,0.5,0.0,0.0,0.5
2005-02-01,19,5,0.5,1,0.5,0.5,0.5,0.5,0,5,0.0,0.0,0.0,0.5,0.0,0.5,0.5
2005-03-01,17,5,0.5,1,0.5,0.5,0.5,0.5,0,6,0.0,0.0,0.0,0.5,0.0,0.5,0.5
2005-04-01,15,5,0.5,1,0.5,0.5,0.5,0.5,0,6,0.0,0.0,0.0,0.5,0.0,0.5,0.5
2005-05-01,16,5,0.5,1,0.5,0.5,0.5,0.5,0,7,0.0,0.0,0.0,0.5,0.0,0.5,0.5
2005-06-01,12,5,0.5,1,0.5,0.5,0.5,0.5,0,3,0.0,0.0,0.0,0.5,0.0,0.5,0.5
2005-07-01,11,5,0.5,1,0.5,0.5,0.5,0.5,0,4,0.0,0.0,0.0,0.5,0.0,0.5,0.5
2005-08-01,12,5,0.5,1,0.5,0.5,0.5,0.5,0,5,0.0,0.0,0.0,0.5,0.0,0.5,0.5
2005-09-01,13,4,0.5,1,0.5,0.5,0.5,0.5,0,5,0.0,0.0,0.0,0.5,0.0,0.5,0.5
2005-10-01,15,5,0.5,2,0.5,0.5,0.5,0.5,0,6,3.0,0.0,0.0,0.5,0.0,0.5,0.5
2005-11-01,15,5,0.5,2,0.5,0.5,0.5,0.5,0,5,2.0,0.0,0.0,0.5,0.0,0.5,0.5
2005-12-01,17,6,0.5,1,0.5,0.5,0.5,0.5,0,4,1.0,0.0,0.0,0.5,0.0,0.5,0.5
