Month,cough: (United States),vomiting: (United States),body aches: (United States),Vaccine: (United States),lockdown: (United States),Quarantine: (United States),WHO Guidelines: (United States),Face mask: (United States),Should I be worried: (United States),How dangerous is: (United States),What is a pandemic: (United States),emergency result: (United States),outbreak news: (United States),Ebola: (United States),Zika virus: (United States),Swine influenza: (United States),COVID-19: (United States),Avg_Return,Volatility,Outbreak,Event
2004-01-01,13,5,0.5,1,0.5,0.5,0.0,0.5,0,0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.0880896679334919,0.7120296831823865,0,0
2004-02-01,12,5,0.5,1,0.5,0.5,0.5,0.5,0,4,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.0654702041112211,0.57860255723714,0,0
2004-03-01,12,5,0.5,1,0.5,0.5,0.0,0.5,0,5,0.0,0.0,0.0,0.5,0.0,0.0,0.5,-0.0674020398562496,0.9465093395207326,0,0
2004-04-01,11,5,0.5,1,0.5,0.5,0.5,0.5,0,5,0.0,0.0,0.0,0.5,0.0,0.5,0.5,-0.0776949447031761,0.7804671921983484,0,0
2004-05-01,11,4,0.5,1,0.5,0.5,0.5,0.5,0,5,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0624981391341294,0.7144389330248103,0,0
2004-06-01,11,4,0.5,1,0.5,0.5,0.5,0.5,0,3,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.0867312918864131,0.6144001017001601,0,0
2004-07-01,11,5,0.5,1,0.5,0.5,0.5,0.5,0,2,0.0,0.0,0.0,0.5,0.0,0.0,0.5,-0.1642968915347759,0.6000785950122295,0,0
2004-08-01,11,5,0.5,1,0.5,0.5,0.5,0.5,0,3,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0136689027078554,0.8287814789727949,0,0
2004-09-01,13,4,0.5,1,0.5,0.5,0.5,0.5,0,6,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0460645567586647,0.5921279996874913,0,0
2004-10-01,16,4,0.5,3,0.5,0.5,0.5,0.5,0,6,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.0691937181055847,0.7812512042592438,0,0
2004-11-01,17,5,0.5,2,0.5,0.5,0.5,0.5,0,6,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.1823590328981542,0.6273731060767562,0,0
2004-12-01,19,5,0.5,1,0.5,0.5,0.0,0.5,0,5,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.1468428277891494,0.5693249610312363,0,0
2005-01-01,18,6,0.5,1,0.5,0.5,0.5,0.5,0,5,0.0,0.0,0.0,0.5,0.0,0.0,0.5,-0.1260208367482707,0.6446716061486798,0,0
2005-02-01,19,5,0.5,1,0.5,0.5,0.5,0.5,0,5,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.1007601164849267,0.672950548077208,0,0
2005-03-01,17,5,0.5,1,0.5,0.5,0.5,0.5,0,6,0.0,0.0,0.0,0.5,0.0,0.5,0.5,-0.0857850020409561,0.633850737035659,0,0
