Category: All categories

Month,Should I be worried: (United States),How dangerous is: (United States),What is a pandemic: (United States),emergency result: (United States),outbreak news: (United States)
2004-01,0,0,0,0,0
2004-02,0,4,0,0,0
2004-03,0,5,0,0,0
2004-04,0,5,0,0,0
2004-05,0,5,0,0,0
2004-06,0,3,0,0,0
2004-07,0,2,0,0,0
2004-08,0,3,0,0,0
2004-09,0,6,0,0,0
2004-10,0,6,0,0,0
2004-11,0,6,0,0,0
2004-12,0,5,0,0,0
2005-01,0,5,0,0,0
2005-02,0,5,0,0,0
2005-03,0,6,0,0,0
2005-04,0,6,0,0,0
2005-05,0,7,0,0,0
2005-06,0,3,0,0,0
2005-07,0,4,0,0,0
2005-08,0,5,0,0,0
2005-09,0,5,0,0,0
2005-10,0,6,3,0,0
2005-11,0,5,2,0,0
2005-12,0,4,1,0,0
2006-01,0,6,1,0,1
2006-02,0,6,1,0,1
2006-03,1,8,1,0,0
2006-04,0,6,0,0,1
2006-05,0,7,1,0,1
2006-06,0,4,0,0,0
2006-07,1,5,0,0,0
2006-08,0,4,0,0,0
2006-09,0,5,0,0,2
2006-10,0,6,0,0,1
2006-11,1,5,0,0,1
2006-12,0,5,0,0,1
2007-01,0,6,0,0,1
2007-02,0,7,0,0,1
2007-03,1,6,0,0,1
2007-04,1,6,0,0,0
2007-05,0,6,0,0,1
2007-06,1,6,0,0,1
2007-07,1,6,0,0,0
2007-08,1,5,0,0,1
2007-09,0,7,0,0,1
2007-10,1,6,0,0,1
2007-11,1,7,0,0,1
2007-12,1,7,0,0,0
2008-01,1,8,0,0,<1
2008-02,1,8,0,0,1
2008-03,1,8,0,0,1
2008-04,1,10,0,0,1
2008-05,1,10,0,0,1
2008-06,1,10,0,0,1
2008-07,2,8,0,0,1
2008-08,1,9,0,0,<1
2008-09,2,10,0,0,1
2008-10,2,10,<1,0,1
2008-11,1,11,<1,0,1
2008-12,2,10,0,0,<1
2009-01,1,11,0,0,1
2009-02,2,13,0,0,1
2009-03,2,13,<1,0,1
2009-04,3,15,13,0,3
2009-05,2,14,4,0,1
2009-06,2,13,1,0,1
2009-07,3,12,0,<1,1
2009-08,2,12,1,0,<1
2009-09,2,15,1,0,1
2009-10,3,17,2,0,1
2009-11,3,15,1,0,1
2009-12,2,15,1,0,0
2010-01,3,17,0,0,<1
2010-02,2,15,<1,0,<1
2010-03,3,17,1,0,1
2010-04,3,18,1,0,1
2010-05,3,18,1,0,1
2010-06,3,14,<1,0,<1
2010-07,3,15,<1,0,<1
2010-08,3,15,0,0,1
2010-09,3,16,1,0,1
2010-10,3,17,1,0,1
2010-11,3,16,1,0,1
2010-12,3,16,<1,0,1
2011-01,4,19,1,<1,1
2011-02,4,21,1,0,1
2011-03,4,24,<1,<1,1
2011-04,4,21,1,<1,1
2011-05,4,21,1,0,2
2011-06,4,19,<1,0,1
2011-07,4,18,<1,0,<1
2011-08,4,18,<1,<1,1
2011-09,4,19,1,<1,1
2011-10,4,20,<1,<1,1
2011-11,4,21,1,<1,1
2011-12,4,19,1,0,<1
2012-01,4,21,1,<1,1
2012-02,5,24,1,<1,1
2012-03,5,24,1,<1,1
2012-04,5,23,1,<1,1
2012-05,5,24,1,<1,1
2012-06,5,22,<1,<1,2
2012-07,5,22,1,<1,1
2012-08,5,21,<1,<1,1
2012-09,5,22,1,<1,1
2012-10,5,22,1,<1,3
2012-11,4,23,1,<1,1
2012-12,5,21,1,<1,1
2013-01,5,24,1,<1,2
2013-02,5,23,1,1,1
2013-03,5,23,1,1,1
2013-04,5,23,1,<1,1
2013-05,5,24,1,<1,1
2013-06,5,22,<1,<1,1
2013-07,6,20,<1,<1,2
2013-08,6,22,<1,<1,1
2013-09,5,23,1,<1,1
2013-10,6,24,1,<1,2
2013-11,6,23,1,1,1
2013-12,5,24,1,<1,1
2014-01,6,27,1,<1,1
2014-02,6,26,1,<1,1
2014-03,6,24,1,1,2
2014-04,6,29,1,<1,3
2014-05,6,26,1,<1,2
2014-06,6,25,1,<1,2
2014-07,7,24,1,<1,3
2014-08,6,23,1,<1,10
2014-09,6,24,1,<1,7
2014-10,8,25,2,<1,27
2014-11,5,26,1,<1,3
2014-12,6,24,1,<1,2
2015-01,6,27,1,<1,3
2015-02,6,26,1,<1,4
2015-03,6,26,1,1,2
2015-04,6,27,1,1,2
2015-05,6,26,1,<1,1
2015-06,6,24,<1,<1,1
2015-07,7,27,<1,<1,1
2015-08,7,25,<1,<1,1
2015-09,6,28,1,1,2
2015-10,6,28,1,1,1
2015-11,6,28,1,1,1
2015-12,6,27,1,<1,1
2016-01,7,26,1,1,1
2016-02,8,28,1,1,1
2016-03,7,27,1,1,1
2016-04,7,27,1,1,1
2016-05,7,28,1,1,1
2016-06,7,24,<1,1,1
2016-07,7,23,<1,<1,1
2016-08,7,21,<1,<1,1
2016-09,7,26,1,1,1
2016-10,7,25,1,1,1
2016-11,6,23,1,1,1
2016-12,6,23,1,1,1
2017-01,7,27,1,1,1
2017-02,7,30,1,1,1
2017-03,7,31,1,1,1
2017-04,7,30,1,1,1
2017-05,7,28,1,1,1
2017-06,7,24,<1,1,1
2017-07,8,26,<1,1,1
2017-08,8,31,<1,1,1
2017-09,7,28,1,1,1
2017-10,7,28,1,1,1
2017-11,7,29,1,1,1
2017-12,7,28,1,1,1
2018-01,7,30,1,1,2
2018-02,8,33,1,1,1
2018-03,8,33,1,1,1
2018-04,8,34,1,1,2
2018-05,8,35,1,1,2
2018-06,8,25,<1,1,1
2018-07,8,28,<1,1,1
2018-08,8,28,<1,1,1
2018-09,8,32,1,1,1
2018-10,8,35,1,1,2
2018-11,8,34,1,1,2
2018-12,8,32,1,1,1
2019-01,8,37,1,1,2
2019-02,8,36,1,1,2
2019-03,8,39,1,1,2
2019-04,8,40,1,1,4
2019-05,8,39,1,1,3
2019-06,9,35,<1,1,1
2019-07,9,34,<1,1,1
2019-08,8,31,<1,1,1
2019-09,8,38,1,1,1
2019-10,8,39,1,1,1
2019-11,7,39,1,1,1
2019-12,8,36,1,1,1
2020-01,11,46,2,1,4
2020-02,13,51,19,1,7
2020-03,24,60,100,1,18
2020-04,11,48,31,2,6
2020-05,10,46,18,1,3
2020-06,10,43,9,1,3
2020-07,11,44,12,1,3
2020-08,10,40,11,1,2
2020-09,10,50,12,2,2
2020-10,10,47,10,2,3
2020-11,10,42,8,2,2
2020-12,10,42,8,1,2
2021-01,11,43,7,1,1
2021-02,11,49,7,1,1
2021-03,11,49,7,2,1
2021-04,13,49,6,2,1
2021-05,12,50,6,2,1
2021-06,12,49,4,1,1
2021-07,13,47,3,1,2
2021-08,13,48,4,1,2
