Month,Should I be worried: (United States),How dangerous is: (United States),What is a pandemic: (United States),emergency result: (United States),outbreak news: (United States)
2004-01-01,0,0,0.0,0.0,0.0
2004-02-01,0,4,0.0,0.0,0.0
2004-03-01,0,5,0.0,0.0,0.0
2004-04-01,0,5,0.0,0.0,0.0
2004-05-01,0,5,0.0,0.0,0.0
2004-06-01,0,3,0.0,0.0,0.0
2004-07-01,0,2,0.0,0.0,0.0
2004-08-01,0,3,0.0,0.0,0.0
2004-09-01,0,6,0.0,0.0,0.0
2004-10-01,0,6,0.0,0.0,0.0
2004-11-01,0,6,0.0,0.0,0.0
2004-12-01,0,5,0.0,0.0,0.0
2005-01-01,0,5,0.0,0.0,0.0
2005-02-01,0,5,0.0,0.0,0.0
2005-03-01,0,6,0.0,0.0,0.0
2005-04-01,0,6,0.0,0.0,0.0
2005-05-01,0,7,0.0,0.0,0.0
2005-06-01,0,3,0.0,0.0,0.0
2005-07-01,0,4,0.0,0.0,0.0
2005-08-01,0,5,0.0,0.0,0.0
2005-09-01,0,5,0.0,0.0,0.0
2005-10-01,0,6,3.0,0.0,0.0
2005-11-01,0,5,2.0,0.0,0.0
2005-12-01,0,4,1.0,0.0,0.0
2006-01-01,0,6,1.0,0.0,1.0
2006-02-01,0,6,1.0,0.0,1.0
2006-03-01,1,8,1.0,0.0,0.0
2006-04-01,0,6,0.0,0.0,1.0
2006-05-01,0,7,1.0,0.0,1.0
2006-06-01,0,4,0.0,0.0,0.0
2006-07-01,1,5,0.0,0.0,0.0
2006-08-01,0,4,0.0,0.0,0.0
2006-09-01,0,5,0.0,0.0,2.0
2006-10-01,0,6,0.0,0.0,1.0
2006-11-01,1,5,0.0,0.0,1.0
2006-12-01,0,5,0.0,0.0,1.0
2007-01-01,0,6,0.0,0.0,1.0
2007-02-01,0,7,0.0,0.0,1.0
2007-03-01,1,6,0.0,0.0,1.0
2007-04-01,1,6,0.0,0.0,0.0
2007-05-01,0,6,0.0,0.0,1.0
2007-06-01,1,6,0.0,0.0,1.0
2007-07-01,1,6,0.0,0.0,0.0
2007-08-01,1,5,0.0,0.0,1.0
2007-09-01,0,7,0.0,0.0,1.0
2007-10-01,1,6,0.0,0.0,1.0
2007-11-01,1,7,0.0,0.0,1.0
2007-12-01,1,7,0.0,0.0,0.0
2008-01-01,1,8,0.0,0.0,0.5
2008-02-01,1,8,0.0,0.0,1.0
2008-03-01,1,8,0.0,0.0,1.0
2008-04-01,1,10,0.0,0.0,1.0
2008-05-01,1,10,0.0,0.0,1.0
2008-06-01,1,10,0.0,0.0,1.0
2008-07-01,2,8,0.0,0.0,1.0
2008-08-01,1,9,0.0,0.0,0.5
2008-09-01,2,10,0.0,0.0,1.0
2008-10-01,2,10,0.5,0.0,1.0
2008-11-01,1,11,0.5,0.0,1.0
2008-12-01,2,10,0.0,0.0,0.5
2009-01-01,1,11,0.0,0.0,1.0
2009-02-01,2,13,0.0,0.0,1.0
2009-03-01,2,13,0.5,0.0,1.0
2009-04-01,3,15,13.0,0.0,3.0
2009-05-01,2,14,4.0,0.0,1.0
2009-06-01,2,13,1.0,0.0,1.0
2009-07-01,3,12,0.0,0.5,1.0
2009-08-01,2,12,1.0,0.0,0.5
2009-09-01,2,15,1.0,0.0,1.0
2009-10-01,3,17,2.0,0.0,1.0
2009-11-01,3,15,1.0,0.0,1.0
2009-12-01,2,15,1.0,0.0,0.0
2010-01-01,3,17,0.0,0.0,0.5
2010-02-01,2,15,0.5,0.0,0.5
2010-03-01,3,17,1.0,0.0,1.0
2010-04-01,3,18,1.0,0.0,1.0
2010-05-01,3,18,1.0,0.0,1.0
2010-06-01,3,14,0.5,0.0,0.5
2010-07-01,3,15,0.5,0.0,0.5
2010-08-01,3,15,0.0,0.0,1.0
2010-09-01,3,16,1.0,0.0,1.0
2010-10-01,3,17,1.0,0.0,1.0
2010-11-01,3,16,1.0,0.0,1.0
2010-12-01,3,16,0.5,0.0,1.0
2011-01-01,4,19,1.0,0.5,1.0
2011-02-01,4,21,1.0,0.0,1.0
2011-03-01,4,24,0.5,0.5,1.0
2011-04-01,4,21,1.0,0.5,1.0
2011-05-01,4,21,1.0,0.0,2.0
2011-06-01,4,19,0.5,0.0,1.0
2011-07-01,4,18,0.5,0.0,0.5
2011-08-01,4,18,0.5,0.5,1.0
2011-09-01,4,19,1.0,0.5,1.0
2011-10-01,4,20,0.5,0.5,1.0
2011-11-01,4,21,1.0,0.5,1.0
2011-12-01,4,19,1.0,0.0,0.5
2012-01-01,4,21,1.0,0.5,1.0
2012-02-01,5,24,1.0,0.5,1.0
2012-03-01,5,24,1.0,0.5,1.0
2012-04-01,5,23,1.0,0.5,1.0
2012-05-01,5,24,1.0,0.5,1.0
2012-06-01,5,22,0.5,0.5,2.0
2012-07-01,5,22,1.0,0.5,1.0
2012-08-01,5,21,0.5,0.5,1.0
2012-09-01,5,22,1.0,0.5,1.0
2012-10-01,5,22,1.0,0.5,3.0
2012-11-01,4,23,1.0,0.5,1.0
2012-12-01,5,21,1.0,0.5,1.0
2013-01-01,5,24,1.0,0.5,2.0
2013-02-01,5,23,1.0,1.0,1.0
