Category: All categories

Month,Vaccine: (United States),lockdown: (United States),Quarantine: (United States),WHO Guidelines: (United States),Face mask: (United States)
2004-01,1,<1,<1,0,<1
2004-02,1,<1,<1,<1,<1
2004-03,1,<1,<1,0,<1
2004-04,1,<1,<1,<1,<1
2004-05,1,<1,<1,<1,<1
2004-06,1,<1,<1,<1,<1
2004-07,1,<1,<1,<1,<1
2004-08,1,<1,<1,<1,<1
2004-09,1,<1,<1,<1,<1
2004-10,3,<1,<1,<1,<1
2004-11,2,<1,<1,<1,<1
2004-12,1,<1,<1,0,<1
2005-01,1,<1,<1,<1,<1
2005-02,1,<1,<1,<1,<1
2005-03,1,<1,<1,<1,<1
2005-04,1,<1,<1,<1,<1
2005-05,1,<1,<1,<1,<1
2005-06,1,<1,<1,<1,<1
2005-07,1,<1,<1,<1,<1
2005-08,1,<1,<1,<1,<1
2005-09,1,<1,<1,<1,<1
2005-10,2,<1,<1,<1,<1
2005-11,2,<1,<1,<1,<1
2005-12,1,<1,<1,<1,<1
2006-01,1,<1,<1,<1,<1
2006-02,1,<1,<1,<1,<1
2006-03,1,<1,<1,<1,<1
2006-04,1,<1,<1,<1,<1
2006-05,1,<1,<1,<1,<1
2006-06,2,<1,<1,<1,<1
2006-07,1,<1,<1,<1,<1
2006-08,2,<1,<1,<1,<1
2006-09,1,<1,<1,<1,<1
2006-10,2,<1,<1,<1,<1
2006-11,2,<1,<1,<1,<1
2006-12,1,<1,<1,<1,<1
2007-01,1,<1,<1,<1,<1
2007-02,2,<1,<1,<1,<1
2007-03,2,<1,<1,<1,<1
2007-04,2,<1,<1,<1,<1
2007-05,2,<1,<1,<1,<1
2007-06,2,<1,<1,<1,<1
2007-07,2,<1,<1,<1,<1
2007-08,2,<1,<1,<1,<1
2007-09,2,<1,<1,<1,<1
2007-10,2,<1,<1,<1,<1
2007-11,2,<1,<1,<1,<1
2007-12,1,<1,<1,<1,<1
2008-01,1,<1,<1,<1,<1
2008-02,2,<1,<1,<1,<1
2008-03,2,<1,<1,<1,<1
2008-04,2,<1,<1,<1,<1
2008-05,2,<1,<1,<1,<1
2008-06,2,<1,<1,<1,<1
2008-07,2,<1,<1,<1,<1
2008-08,2,<1,<1,<1,<1
2008-09,2,1,<1,<1,<1
