Category: All categories

Month,cough: (United States),vomiting: (United States),body aches: (United States)
2004-01,13,5,<1
2004-02,12,5,<1
2004-03,12,5,<1
2004-04,11,5,<1
2004-05,11,4,<1
2004-06,11,4,<1
2004-07,11,5,<1
2004-08,11,5,<1
2004-09,13,4,<1
2004-10,16,4,<1
2004-11,17,5,<1
2004-12,19,5,<1
2005-01,18,6,<1
2005-02,19,5,<1
2005-03,17,5,<1
2005-04,15,5,<1
2005-05,16,5,<1
2005-06,12,5,<1
2005-07,11,5,<1
2005-08,12,5,<1
2005-09,13,4,<1
2005-10,15,5,<1
2005-11,15,5,<1
2005-12,17,6,<1
2006-01,17,6,<1
2006-02,17,6,<1
2006-03,15,6,<1
2006-04,12,6,<1
2006-05,12,5,<1
2006-06,11,5,<1
2006-07,11,5,<1
2006-08,11,5,<1
2006-09,12,5,<1
2006-10,15,5,<1
2006-11,16,6,<1
2006-12,19,6,<1
2007-01,18,6,<1
2007-02,16,6,1
2007-03,16,6,1
2007-04,13,6,<1
2007-05,11,6,<1
2007-06,11,5,<1
2007-07,10,5,1
2007-08,11,5,<1
2007-09,12,5,<1
2007-10,18,6,1
2007-11,19,6,1
2007-12,20,6,1
2008-01,21,7,1
2008-02,22,6,1
2008-03,19,6,1
2008-04,15,6,1
2008-05,14,6,1
2008-06,13,5,<1
2008-07,12,5,<1
2008-08,12,5,1
2008-09,14,5,1
2008-10,16,5,1
2008-11,19,6,1
2008-12,20,6,1
2009-01,20,7,1
2009-02,22,6,1
2009-03,20,6,1
2009-04,18,6,1
2009-05,16,5,1
2009-06,14,6,1
2009-07,13,5,1
2009-08,14,5,1
2009-09,18,6,1
2009-10,24,6,1
2009-11,25,7,1
2009-12,21,6,1
2010-01,21,7,1
2010-02,21,7,1
2010-03,20,7,1
2010-04,17,6,1
2010-05,16,6,1
2010-06,18,5,1
2010-07,18,6,1
2010-08,18,6,1
2010-09,22,6,1
2010-10,23,7,1
2010-11,27,7,1
2010-12,27,8,1
2011-01,33,9,1
2011-02,34,9,2
2011-03,29,9,1
2011-04,25,8,1
2011-05,24,8,1
2011-06,21,8,1
2011-07,18,8,1
2011-08,18,7,1
2011-09,24,7,1
2011-10,28,8,1
2011-11,32,9,1
2011-12,32,9,1
2012-01,33,10,1
2012-02,37,10,2
2012-03,31,9,2
2012-04,31,9,2
2012-05,31,9,1
2012-06,25,8,1
2012-07,26,9,1
2012-08,25,8,2
2012-09,29,9,2
2012-10,33,10,2
2012-11,35,11,2
2012-12,42,11,2
2013-01,46,12,2
2013-02,39,11,2
2013-03,34,11,2
2013-04,28,11,2
2013-05,27,10,2
2013-06,23,9,2
2013-07,21,10,1
2013-08,22,9,2
2013-09,29,9,2
2013-10,32,9,2
2013-11,36,10,2
2013-12,44,12,2
2014-01,42,12,2
2014-02,35,11,2
2014-03,33,12,2
2014-04,33,11,2
2014-05,29,10,2
2014-06,27,10,2
2014-07,22,10,2
2014-08,23,9,2
2014-09,28,9,2
2014-10,31,10,2
2014-11,36,10,2
2014-12,49,12,2
2015-01,45,12,2
2015-02,40,12,2
2015-03,38,12,2
2015-04,35,11,2
2015-05,31,10,2
2015-06,26,10,2
2015-07,24,10,2
2015-08,24,10,2
2015-09,31,9,2
2015-10,34,10,2
2015-11,39,10,2
2015-12,45,12,2
2016-01,46,12,2
2016-02,51,13,3
2016-03,44,13,3
2016-04,38,12,2
2016-05,32,11,2
2016-06,29,11,2
2016-07,24,11,2
2016-08,26,9,2
2016-09,34,10,2
2016-10,39,11,2
2016-11,43,11,2
2016-12,49,13,2
2017-01,51,14,3
2017-02,50,13,3
2017-03,44,13,3
2017-04,41,13,2
2017-05,36,11,2
2017-06,31,11,2
2017-07,28,11,2
2017-08,27,10,2
2017-09,37,10,2
2017-10,40,11,2
2017-11,49,12,3
2017-12,61,15,4
2018-01,67,15,4
2018-02,57,14,4
2018-03,46,12,3
2018-04,41,13,3
2018-05,37,12,3
2018-06,34,12,2
2018-07,29,12,2
2018-08,28,11,2
2018-09,39,11,3
2018-10,42,11,3
2018-11,51,12,3
2018-12,61,14,3
2019-01,58,14,3
2019-02,57,14,3
2019-03,54,14,3
2019-04,47,13,3
2019-05,41,12,3
2019-06,35,12,2
2019-07,30,11,2
2019-08,31,11,2
2019-09,39,11,3
2019-10,45,11,3
2019-11,57,13,3
2019-12,65,14,4
2020-01,67,14,4
2020-02,64,13,4
2020-03,100,14,6
2020-04,50,12,4
2020-05,27,11,3
2020-06,25,11,3
2020-07,31,12,3
2020-08,27,11,3
2020-09,27,10,3
2020-10,34,11,3
2020-11,37,11,4
2020-12,39,10,4
2021-01,35,11,4
2021-02,30,12,3
2021-03,31,12,3
2021-04,35,13,4
2021-05,39,12,3
2021-06,40,12,3
2021-07,45,13,3
2021-08,53,13,4
2021-09,56,12,4
2021-10,57,12,4
2021-11,63,13,4
2021-12,75,15,7
2022-01,78,16,9
2022-02,46,15,4
2022-03,47,16,3
2022-04,52,15,4
2022-05,59,14,5
2022-06,57,13,5
2022-07,49,13,5
2022-08,49,12,4
2022-09,53,12,4
2022-10,68,13,4
2022-11,88,14,5
2022-12,90,15,6
2023-01,64,15,4
2023-02,63,16,4
2023-03,58,16,4
2023-04,51,15,4
2023-05,49,14,4
2023-06,44,14,3
2023-07,37,13,3
2023-08,38,11,4
2023-09,51,12,4
2023-10,61,13,4
2023-11,77,14,4
2023-12,92,16,6
