Month,cough: (United States),vomiting: (United States),body aches: (United States)
2004-01-01,13,5,0.5
2004-02-01,12,5,0.5
2004-03-01,12,5,0.5
2004-04-01,11,5,0.5
2004-05-01,11,4,0.5
2004-06-01,11,4,0.5
2004-07-01,11,5,0.5
2004-08-01,11,5,0.5
2004-09-01,13,4,0.5
2004-10-01,16,4,0.5
2004-11-01,17,5,0.5
2004-12-01,19,5,0.5
2005-01-01,18,6,0.5
2005-02-01,19,5,0.5
2005-03-01,17,5,0.5
2005-04-01,15,5,0.5
2005-05-01,16,5,0.5
2005-06-01,12,5,0.5
2005-07-01,11,5,0.5
2005-08-01,12,5,0.5
2005-09-01,13,4,0.5
2005-10-01,15,5,0.5
2005-11-01,15,5,0.5
2005-12-01,17,6,0.5
2006-01-01,17,6,0.5
2006-02-01,17,6,0.5
2006-03-01,15,6,0.5
2006-04-01,12,6,0.5
2006-05-01,12,5,0.5
2006-06-01,11,5,0.5
2006-07-01,11,5,0.5
2006-08-01,11,5,0.5
2006-09-01,12,5,0.5
2006-10-01,15,5,0.5
2006-11-01,16,6,0.5
2006-12-01,19,6,0.5
2007-01-01,18,6,0.5
2007-02-01,16,6,1.0
2007-03-01,16,6,1.0
2007-04-01,13,6,0.5
2007-05-01,11,6,0.5
2007-06-01,11,5,0.5
2007-07-01,10,5,1.0
2007-08-01,11,5,0.5
2007-09-01,12,5,0.5
2007-10-01,18,6,1.0
2007-11-01,19,6,1.0
2007-12-01,20,6,1.0
2008-01-01,21,7,1.0
2008-02-01,22,6,1.0
2008-03-01,19,6,1.0
2008-04-01,15,6,1.0
2008-05-01,14,6,1.0
2008-06-01,13,5,0.5
2008-07-01,12,5,0.5
2008-08-01,12,5,1.0
2008-09-01,14,5,1.0
2008-10-01,16,5,1.0
2008-11-01,19,6,1.0
2008-12-01,20,6,1.0
2009-01-01,20,7,1.0
2009-02-01,22,6,1.0
2009-03-01,20,6,1.0
2009-04-01,18,6,1.0
2009-05-01,16,5,1.0
2009-06-01,14,6,1.0
2009-07-01,13,5,1.0
2009-08-01,14,5,1.0
2009-09-01,18,6,1.0
2009-10-01,24,6,1.0
2009-11-01,25,7,1.0
2009-12-01,21,6,1.0
2010-01-01,21,7,1.0
2010-02-01,21,7,1.0
2010-03-01,20,7,1.0
2010-04-01,17,6,1.0
2010-05-01,16,6,1.0
2010-06-01,18,5,1.0
2010-07-01,18,6,1.0
2010-08-01,18,6,1.0
2010-09-01,22,6,1.0
2010-10-01,23,7,1.0
2010-11-01,27,7,1.0
2010-12-01,27,8,1.0
2011-01-01,33,9,1.0
2011-02-01,34,9,2.0
2011-03-01,29,9,1.0
2011-04-01,25,8,1.0
2011-05-01,24,8,1.0
2011-06-01,21,8,1.0
2011-07-01,18,8,1.0
2011-08-01,18,7,1.0
2011-09-01,24,7,1.0
2011-10-01,28,8,1.0
2011-11-01,32,9,1.0
2011-12-01,32,9,1.0
2012-01-01,33,10,1.0
2012-02-01,37,10,2.0
2012-03-01,31,9,2.0
2012-04-01,31,9,2.0
2012-05-01,31,9,1.0
2012-06-01,25,8,1.0
2012-07-01,26,9,1.0
2012-08-01,25,8,2.0
2012-09-01,29,9,2.0
2012-10-01,33,10,2.0
2012-11-01,35,11,2.0
2012-12-01,42,11,2.0
2013-01-01,46,12,2.0
2013-02-01,39,11,2.0
2013-03-01,34,11,2.0
2013-04-01,28,11,2.0
2013-05-01,27,10,2.0
2013-06-01,23,9,2.0
2013-07-01,21,10,1.0
2013-08-01,22,9,2.0
2013-09-01,29,9,2.0
2013-10-01,32,9,2.0
2013-11-01,36,10,2.0
2013-12-01,44,12,2.0
2014-01-01,42,12,2.0
2014-02-01,35,11,2.0
2014-03-01,33,12,2.0
